id,username,created_at,sentiment,body
107048550,joel35,2017-12-31 19:36:27 EST-0500,Bullish,"$TSLA bare in mined:
Elon owns 65% of Space X (40B+ valuation) ppl think 55%
Elon owns 27% of TESLA! 

Space X can easily put 3B in TESLA *"
107048646,joel35,2017-12-31 19:38:08 EST-0500,Bullish,"$TSLA Elon will own $36% of TESLA via Space X deal

Therefore TESLA won’t need fund !"
107048836,joel35,2017-12-31 19:42:35 EST-0500,Bullish,$TSLA 12 IRD Satellites were delivered 40M 4each delivery Space X net ~1/2B  from reusing the same Rocket booster! Elon made 65% of that
107049637,jazzjensen,2017-12-31 20:00:05 EST-0500,,$TSLA So Fool Bulls think that Elon and the &quot;China Emporer&quot; have an agreement?  WTF!  China has no use for Elon Musk!!
107049756,PiperSimms,2017-12-31 20:02:32 EST-0500,Bullish,$TSLA jizzjenson go have some champagne !   HNY bulls !
107053655,ChartMill,2017-12-31 21:21:06 EST-0500,,$TSLA has an average volume of 6189000. This is a good sign as it is always nice to have a liquid stock. https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=TA&amp;utm_campaign=social_tracking#/TSLA?key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8
107053764,UAP,2017-12-31 21:22:55 EST-0500,,Remember that $tsla does not trade on fundamentals - which means highly speculative. The gamble is profitability before bank credit dries.
107055154,bearcharts,2017-12-31 21:54:09 EST-0500,Bearish,Musk said this two years ago minus 9 days: https://twitter.com/elonmusk/status/686279251293777920 $TSLA
107057135,Scorpio244,2017-12-31 22:40:36 EST-0500,,10 Stock Market Predictions for 2018 | Mott Capital $aapl $nflx $spx $fb $amzn $googl $vz $cbs $tsla $dxy #oil $ https://mottcapitalmanagement.com/10-stock-market-predictions-for-2018/
107057412,TheKeaton,2017-12-31 22:48:45 EST-0500,,Happy new year to all! Hope it is full of fat juicy profits for you! $BTC.X $LTC.X $ETH.X $XRP.X $SPY $AAPL $TSLA
107058324,MarketBeat,2017-12-31 23:07:20 EST-0500,,Tesla upgraded by ValuEngine to hold. http://www.marketbeat.com/r/947390 $TSLA
107059283,4ProfitS,2017-12-31 23:29:58 EST-0500,Bullish,$TSLA happy new years Tesla longs. We shall see roadster speed up moves this year
107059367,TraderEquities,2017-12-31 23:31:50 EST-0500,,$TSLA Tesla Q4 Delivery report Estimate . SA.  $TSLA https://seekingalpha.com/article/4134163-tesla-q4-2017-delivery-estimate?source=tweet
107061507,Moneystagger,2018-01-01 00:16:01 EST-0500,,$BRK.A $MS $JPM $BAC $GS $TSLA $AMZN $AAPL $SLNO $ETFC $WFC     www.youtube.com/watch?v=EUrUfJW1JGk
107062228,Stockmarketinvesting,2018-01-01 00:33:09 EST-0500,Bullish,$TSLA Will Tesla short sellers gets squeezed? https://www.youtube.com/watch?v=fEnP6VrvrEo
107062325,sallystruthersson,2018-01-01 00:35:26 EST-0500,,$TSLA end of the year tax selling is over is money moving here?
107065769,jinkang,2018-01-01 02:21:50 EST-0500,,"$TSLA People of Space X will be happy with that idea, especially in a company that proved through solar city they have terrible management"
107066253,001_,2018-01-01 02:35:51 EST-0500,,$TSLA buy point?
107066983,mcmuggets,2018-01-01 03:01:16 EST-0500,Bullish,$TSLA happy New Years folks.  Here’s a feel good story https://hospitalnews.com/anonymous-donor-lets-sick-children-drive-operating-room-style/
107067791,ChartMill,2018-01-01 03:38:06 EST-0500,,"$TSLA has only a medium technical rating, but it does show a decent setup pattern. Prices have been consolidati ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=SETUP&amp;utm_campaign=social_tracking#/TSLA?key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8"
107068267,808Vinny,2018-01-01 04:10:24 EST-0500,,"$TSLA back in its hay day, the old Tesla Fremont factory was making ~450k cars/yr by other mfrs. No reason it wont happen. Happy new year"
107069358,GILLOVE,2018-01-01 05:46:45 EST-0500,Bearish,$TSLA - heading to 265
107069851,stockgamer,2018-01-01 06:37:02 EST-0500,Bearish,"$TSLA is losing on every numeric measurement: EV production, self driving miles driven, and profits"
107070895,jakubpajer,2018-01-01 07:59:53 EST-0500,,UBS analysts raised sales projection of electric cars to 16.5 million in 2025. Good for $TSLA?
107071204,jaydilks,2018-01-01 08:14:53 EST-0500,Bullish,"$TSLA if you are short, I would be concerned that every single Tech Company bringing cash back to the USA has to do something with it."
107071292,jakubpajer,2018-01-01 08:19:20 EST-0500,Bullish,"With same market share as in 2016, $TSLA will sell 627 000 electric cars in 2025. Total market expected to be 16.5 milion cars. Bullish!"
107073017,SchlomoL1,2018-01-01 09:18:04 EST-0500,Bearish,$TSLA how much cash back are you expecting from this?
